,water
water,1.0
sur_refl_b01_1,-0.6049493878681428
sur_refl_b02_1,-0.7801727257456386
sur_refl_b03_1,-0.3158864161362227
sur_refl_b04_1,-0.43150634955405126
sur_refl_b05_1,-0.8138475151962808
sur_refl_b06_1,-0.7695461301441551
sur_refl_b07_1,-0.7203135541934864
ndvi,-0.7515996643790948
ndwi1,-0.5365013619582639
ndwi2,-0.38200100041676915
